"ID","Category","Name","Status","Assigned To","Description","Goal","Comments","User Story","Depends On","Blockers"
"INS-001","Installer","Project Scaffolding","Done","Developer Agent","Create src/ directory structure: launcher/main.py, gui/app.py, gui/components.py, core/project_creator.py, core/vscode.py, core/os_utils.py, config.py, installer/ with per-platform subdirectories","Repository matches planned structure; python src/launcher/main.py runs without import errors","Iteration 3 â€” BUG-001 fix applied: replaced str(target).startswith(str(destination.resolve())) with target.is_relative_to(destination.resolve()); 93/93 tests pass including TST-111 regression test.","Enabler","",""
"INS-002","Installer","Python Packaging","Done","Developer Agent","Create pyproject.toml with project metadata, dependencies (customtkinter), dev dependencies (pyinstaller, pytest), and entry point","pip install -e . succeeds; all dependencies installable","Iteration 2 â€” BUG-002 fixed: build-backend corrected to setuptools.build_meta; test_pyproject_build_system strengthened to assert exact value; 86/86 tests pass. Tester re-review: 96/96 pass; 3 edge-case tests added (build-system requires, requires-python exact, customtkinter upper bound); PASS.","Enabler","",""
"INS-003","Installer","PyInstaller Config","Done","Developer Agent","Create PyInstaller spec file; configure --onedir bundling; include templates/ as bundled data","pyinstaller produces working bundled output on the current OS","Tester approved â€” 19/19 tests pass. Status corrected from Review to Done (race condition fix from parallel workgroup execution).","Enabler","",""
"INS-004","Installer","Template Bundling","Done","Developer Agent","Copy Default-Project/ as the ""coding"" template under templates/coding/; ensure all safety files (hooks, settings, instructions) are included","Templates discoverable and copyable at runtime from bundled app","Restored after parallel workgroup branch conflict. Template files copied from Default-Project/, TEMPLATES_DIR added to config.py, list_templates() added to project_creator.py. Tester review 2026-03-12: 48/48 tests pass (43 dev + 5 Tester additions); no regressions; PASS.","Enabler","",""
"INS-005","Installer","Windows Installer","Done","Developer Agent","Create Inno Setup script (src/installer/windows/setup.iss) wrapping PyInstaller output",".exe installer installs the Launcher on Windows","Tester PASS: 41/41 tests (15 dev + 26 Tester edge-case). All checklist items verified. No regressions.","Enabler","",""
"INS-006","Installer","macOS Installer","Done","Developer Agent","Create DMG build script (src/installer/macos/build_dmg.sh) for both Intel and ARM architectures",".dmg installer works on macOS Intel and Apple Silicon","Depends on INS-003. Iteration 1: build_dmg.sh created; 32/32 tests pass; no regressions. Tester PASS: 63/63 tests (32 dev + 31 Tester edge-case); CRLF safety, XML validity, version consistency, temp-dir hygiene, hdiutil flags, no-credentials verified.","Enabler","",""
"INS-007","Installer","Linux Installer","Done","Developer Agent","Create AppImage build script (src/installer/linux/build_appimage.sh)",".AppImage runs on major Linux distributions","Tester review (2026-03-13): ~64 tests (50 dev + 14 tester edge-case). Code review PASS. Pending human test execution.","Enabler","",""
"INS-008","Installer","CI/CD Pipeline","Done","","Create GitHub Actions workflow: 4 parallel jobs (Windows, macOS Intel, macOS ARM, Linux); build, package, and upload to GitHub Release","Push to version tag triggers automated builds and release artifacts","Decomposed into sub-workpackages INS-013 through INS-017 â€” all Done. CI/CD pipeline complete.","Enabler","",""
"SAF-001","Safety","Python Security Gate ? Core","Done","Developer Agent","Design and implement security_gate.py replacing .ps1/.sh hooks. Parse VS Code hook JSON input (stdin), determine tool name and target path, return allow/deny/ask JSON to stdout. Cross-platform.","Single Python script handles PreToolUse hook on Windows, macOS, Linux","Iteration 2: source files restored; query/pattern removed from _PATH_FIELDS; null-byte sanitization and stdin size guard added; 60 SAF-001 tests pass (49 original + 11 edge-case); 92/92 total tests pass.","Enabler","",""
"SAF-002","Safety","Zone Enforcement Logic","Done","Developer Agent","Implement 3-tier zone classification: allow = Project/, deny = .github/ + .vscode/ + NoAgentZone/, ask = everything else. Port and harden logic from current shell hooks.","Zone checks match or exceed current shell implementation","Iteration 2 PASS: BUG-010 and BUG-011 fixed; 59/59 tests pass. Set to Done during maintenance cleanup 2026-03-11.","US-009","",""
