"ID","Title","As a","I want","So that","Acceptance Criteria","Status","Linked WPs","Comments"
"US-001","Create Project Workspace","developer","to select a project type and a custom folder name then browse to a destination and create a pre-configured workspace with one click","I can start AI-assisted development immediately with the right template and safety controls already in place","1. Project type dropdown lists all available template types (Coding; Creative / Marketing); 2. User can enter a custom folder name — invalid characters or duplicate names are rejected with a clear inline message; 3. User can browse to any writable destination folder via a native OS dialog; 4. Clicking Create Project copies the selected template to <destination>/<folder_name>/; 5. The UI shows a success message or an actionable error after the action; 6. When Open VS Code is checked and creation succeeds VS Code opens the new workspace automatically; 7. The Open VS Code checkbox is greyed out if VS Code is not detected on the system","Closed","GUI-002, GUI-003, GUI-004, GUI-005, GUI-006, GUI-007","Split into US-003, US-004, US-005, US-006"
"US-002","Modern and Branded UX Design","developer","the launcher application to have a modern, clean, and elegant user interface that reflects the company's brand identity","the tool feels professional, is visually appealing, and is consistent with other company software.","1. The application's primary background color is dark blue (`#0A1D4E`). 2. Interactive elements (like buttons and links) use the secondary bright blue color (`#5BC5F2`) for highlights or accents. 3. Text is rendered in white or a light color that provides high contrast and readability against the dark background. 4. The layout is clean, uncluttered, and uses modern design principles (e.g., appropriate spacing, clear visual hierarchy). 5. All UI components (buttons, labels, input fields) have a consistent and polished look and feel.","Closed","","Split into US-007, US-008"
"US-003","Select Project Template","developer","to select a project type from a dropdown list in the launcher","I can choose the correct template for the workspace I need to create.","1. The launcher UI displays a dropdown menu for project type selection. 2. The dropdown lists all available template types (e.g., ""Coding"", ""Creative / Marketing"").","Done","GUI-002, GUI-014, FIX-013","Derived from US-001."
"US-004","Define Project Name and Destination","developer","to specify a name for my new project and browse to a destination folder","I can control where my project is created and what it is called.","1. The UI provides a text input field for the project name. 2. Invalid characters in the project name are rejected with a clear inline message. 3. The UI prevents the use of a name that already exists at the destination. 4. A ""Browse"" button opens a native OS dialog to select a destination folder.","Done","GUI-003, GUI-004, GUI-007","Derived from US-001."
"US-005","Create Project from Template","developer","to click a ""Create"" button to generate the project workspace from the selected template","the application builds the pre-configured environment for me.","1. A ""Create Project"" button is present in the UI. 2. Clicking the button copies the selected template to `<destination>/<project_name>/`. 3. The UI shows a clear success message upon successful creation. 4. The UI shows an actionable error message if creation fails.","Done","GUI-005","Derived from US-001."
"US-006","Open Project in VS Code","developer","the option to automatically open the new workspace in VS Code after it's created","I can start working immediately without manual steps.","1. The UI has an ""Open in VS Code"" checkbox. 2. If the checkbox is checked, VS Code automatically opens the new project folder upon successful creation. 3. The checkbox is disabled/greyed out if VS Code is not detected on the system PATH.","Done","GUI-006","Derived from US-001."
"US-007","Apply Company Branding to UI","developer","the launcher UI to use the official company color palette","the application has a consistent brand identity.","1. The application's primary background color is dark blue (`#0A1D4E`). 2. Interactive elements (like buttons and links) use the secondary bright blue color (`#5BC5F2`). 3. All text is rendered in white or a light color with high contrast for readability.","Done","GUI-011, GUI-013, FIX-015, FIX-016","Derived from US-002."
"US-008","Ensure Modern and Clean UI Layout","developer","the launcher to have a modern, clean, and elegant user interface","the tool feels professional and is intuitive to use.","1. The layout is uncluttered and uses generous spacing to separate UI elements. 2. A clear visual hierarchy guides the user through the steps of creating a project. 3. All UI components (buttons, labels, input fields) have a consistent and polished look and feel.","Done","GUI-012","Derived from US-002."
"US-009","Enforce Zone-Based Access Control for AI Agents","security-conscious developer","the system to restrict the AI agent's file access based on predefined security zones","I can prevent the agent from reading sensitive project files or modifying critical configuration.","1. The agent has full read/write access only within the `Project/` directory. 2. The agent is explicitly denied access to `.github/`, `.vscode/`, and `NoAgentZone/`. 3. Any attempt to access a path outside the ""Allow"" or ""Deny"" zones requires explicit user approval via a prompt.","Done","SAF-002","Covers SAF-002."
"US-010","Prevent AI Agent Tool Abuse","security-conscious developer","the system to validate the parameters of tool calls made by the AI agent","the agent cannot use tools like `grep_search` or `semantic_search` to bypass file access restrictions.","1. `grep_search` and `semantic_search` tool calls are inspected before execution. 2. Any tool call attempting to search within a ""Deny"" zone is blocked. 3. Any tool call using parameters designed to obscure the target path (e.g., `../`) is blocked.","Done","SAF-003","Covers SAF-003."
